colony_name,mother_city,date
Kyzikos,Miletus,-676
Abydos,Miletus,-670
Byzantion,Megara,-659
Histria,Miletus,-657
Abdera,Clazomenae,-654
Abdera,Teos,-654
Lampsacus,Miletus,-654
Neapolis (Thrace),Athens,-650
Olbia,Miletus,-647
Sinope,Miletus,-631
Prusias,Miletus,-627
Apollonia,Miletus,-609
Amisos,Miletus,-625
Amisos,Phocaea,-625
Kardia,Miletus,-625
Kardia,Clazomenae,-625
Pantikapaion,Miletus,-600
Odessos,Miletus,-585
Tomoi,Miletus,-575
Nymphaion,Miletus,-580
Heraclea Pontica,Megara,-554
Heraclea Pontica,Miletus,-554
Hermonassa,Miletus,-575